country_final,region_final,happiness_final,gdp_final,social_support,health_final,freedom_final,generosity,corruption_final
Switzerland,Western Europe,7.587,1.39651,,0.94143,0.66557,0.29678,0.41978
Iceland,Western Europe,7.561,1.30232,,0.94784,0.62877,0.4363,0.14145
Denmark,Western Europe,7.527,1.32548,,0.87464,0.64938,0.34139,0.48357
Norway,Western Europe,7.522,1.459,,0.88521,0.66973,0.34699,0.36503
Canada,North America,7.427,1.32629,,0.90563,0.63297,0.45811,0.32957
Finland,Western Europe,7.406,1.29025,,0.88911,0.64169,0.23351,0.41372
Netherlands,Western Europe,7.378,1.32944,,0.89284,0.61576,0.4761,0.31814
Sweden,Western Europe,7.364,1.33171,,0.91087,0.6598,0.36262,0.43844
New Zealand,Australia and New Zealand,7.286,1.25018,,0.90837,0.63938,0.47501,0.42922
Australia,Australia and New Zealand,7.284,1.33358,,0.93156,0.65124,0.43562,0.35637
Israel,Middle East and Northern Africa,7.278,1.22857,,0.91387,0.41319,0.33172,0.07785
Costa Rica,Latin America and Caribbean,7.226,0.95578,,0.86027,0.63376,0.25497,0.10583
Austria,Western Europe,7.2,1.33723,,0.89042,0.62433,0.33088,0.18676
Mexico,Latin America and Caribbean,7.187,1.02054,,0.81444,0.48181,0.14074,0.21312
United States,North America,7.119,1.39451,,0.86179,0.54604,0.40105,0.1589
Brazil,Latin America and Caribbean,6.983,0.98124,,0.69702,0.49049,0.14574,0.17521
Luxembourg,Western Europe,6.946,1.56391,,0.91894,0.61583,0.28034,0.37798
Ireland,Western Europe,6.94,1.33596,,0.89533,0.61777,0.45901,0.28703
Belgium,Western Europe,6.937,1.30782,,0.89667,0.5845,0.2225,0.2254
United Arab Emirates,Middle East and Northern Africa,6.901,1.42727,,0.80925,0.64157,0.26428,0.38583
United Kingdom,Western Europe,6.867,1.26637,,0.90943,0.59625,0.51912,0.32067
Oman,Middle East and Northern Africa,6.853,1.36011,,0.76276,0.63274,0.21542,0.32524
Venezuela,Latin America and Caribbean,6.81,1.04424,,0.72052,0.42908,0.05841,0.11069
Singapore,Southeastern Asia,6.798,1.52186,,1.02525,0.54252,0.31105,0.4921
Panama,Latin America and Caribbean,6.786,1.06353,,0.79661,0.5421,0.24434,0.0927
Germany,Western Europe,6.75,1.32792,,0.89186,0.61477,0.28214,0.21843
Chile,Latin America and Caribbean,6.67,1.10715,,0.85857,0.44132,0.33363,0.12869
Qatar,Middle East and Northern Africa,6.611,1.69042,,0.79733,0.6404,0.32573,0.52208
France,Western Europe,6.575,1.27778,,0.94579,0.55011,0.12332,0.20646
Argentina,Latin America and Caribbean,6.574,1.05351,,0.78723,0.44974,0.11451,0.08484
Czech Republic,Central and Eastern Europe,6.505,1.17898,,0.84483,0.46364,0.10686,0.02652
Uruguay,Latin America and Caribbean,6.485,1.06166,,0.8116,0.60362,0.2324,0.24558
Colombia,Latin America and Caribbean,6.477,0.91861,,0.69077,0.53466,0.18401,0.0512
Thailand,Southeastern Asia,6.455,0.9669,,0.7385,0.55664,0.5763,0.03187
